meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-117.5000,0.0000,6.8594,0.0000,2591.2932,1.0000,2767,8,5,0.0000,1
-117.7500,0.0000,6.6875,0.0000,2595.4873,1.0000,2799,8,5,0.0000,1
-117.6452,0.0000,6.7016,0.0000,2598.7097,1.0000,2830,8,5,0.0000,1
-117.3125,0.0000,6.7422,0.0000,2603.6147,1.0000,2862,8,5,0.0000,1
-117.7813,0.0000,6.6328,0.0000,2605.9744,1.0000,2894,8,5,0.0000,1
-117.9355,0.0000,6.5000,0.0000,2610.6165,1.0000,2925,8,5,0.0000,1
-116.5000,0.0000,7.4453,0.0000,2613.8381,1.0000,2957,8,5,0.0000,1
-116.0625,0.0000,7.6328,0.0000,2618.8184,1.0000,2989,8,5,0.0000,1
-116.1290,0.0000,7.6048,0.0000,2623.8752,1.0000,3020,8,5,0.0000,1
-116.1563,0.0000,7.6328,0.0000,2628.5176,1.0000,3052,8,5,0.0000,1
-117.1563,0.0000,7.1875,0.0000,2630.8770,1.0000,3084,8,5,0.0000,1
-117.2581,0.0000,7.1210,0.0000,2633.6174,1.0000,3115,8,5,0.0000,1
-116.5000,0.0000,7.3125,0.0000,2637.6936,1.0000,3147,8,5,0.0000,1
-116.0000,0.0000,7.6172,0.0000,2640.8394,1.0000,3179,8,5,0.0000,1
-116.0000,0.0000,7.6371,0.0000,2644.9829,1.0000,3210,8,5,0.0000,1
-116.0625,0.0000,7.6250,0.0000,2646.3442,1.0000,3242,8,5,0.0000,1

-118.0313,2.5068,-7.5312,11.6631,-555.7452,0.9711,0,8,5,83000.0000,1
-118.7750,1.4056,-5.1250,14.0031,-564.5533,0.0000,0,8,5,83000.0000,1
-114.3808,0.1811,7.1034,0.8038,2590.5607,0.3251,200,8,5,0.0,1
-114.1716,0.0937,6.732,0.6505,2504.4614,0.4435,380,8,5,0.0,1
-115.6507,2.0671,6.8629,0.1857,2454.7115,0.2991,560,8,5,0.0,1
-114.8838,1.4428,9.0097,0.595,2768.6254,0.8944,740,8,5,0.0,1
-111.1187,0.724,6.6863,0.2164,2715.0811,0.6656,920,8,5,0.0,1
-115.411,0.4518,7.7339,0.8724,2689.6758,0.2699,1100,8,5,0.0,1
-112.8054,0.157,7.9896,0.0894,2528.6467,0.1145,1280,8,5,0.0,1
-114.9702,0.7854,9.2216,0.8783,2456.5554,0.5889,1460,8,5,0.0,1
-113.7341,1.7475,7.6991,0.3661,2676.6277,0.2877,1640,8,5,0.0,1
-113.1279,1.8236,8.6008,0.4319,2725.0825,0.9898,1820,8,5,0.0,1
-111.0991,1.8929,6.9723,0.228,2450.8737,0.5488,2000,8,5,0.0,1
-113.5552,1.9114,6.6568,0.8595,2600.9295,0.7886,2180,8,5,0.0,1
-111.6226,1.4859,7.755,0.8698,2617.1772,0.7184,2360,8,5,0.0,1
-113.719,1.1852,9.8599,0.9962,2766.8087,0.9454,2540,8,5,0.0,1
-115.6967,2.4827,9.306,1.2329,2588.2773,0.9115,2720,8,5,0.0,1
-117.5078,0.8887,5.7005,0.9164,-695.4874,0.7048,61,8,5,83000.0,1
-116.0441,0.9774,4.5275,1.3071,-552.3273,0.4227,52,8,5,83000.0,1
-118.9359,1.0763,6.1443,0.8253,-523.3232,0.6166,106,8,5,83000.0,1
-114.5552,0.3773,9.9053,0.2643,-623.9117,0.7152,31,8,5,83000.0,1
-117.8763,0.7048,4.6334,0.2185,-582.1753,0.5689,35,8,5,83000.0,1
-115.7579,1.2887,7.2687,0.9264,-674.9017,0.4458,111,8,5,83000.0,1
-114.7666,1.7014,3.378,0.8389,-544.0061,0.8757,113,8,5,83000.0,1
-116.7135,0.1684,5.7588,0.3131,-619.9115,0.5663,26,8,5,83000.0,1
-118.3639,1.3415,5.3804,1.4234,-699.9533,0.2489,21,8,5,83000.0,1
-115.2038,0.6306,3.4922,0.5211,-624.7541,0.3639,83,8,5,83000.0,1
-116.9509,1.201,3.8599,0.4678,-501.3795,0.8382,61,8,5,83000.0,1
-118.4912,0.4036,8.2477,0.0346,-604.2756,0.7579,90,8,5,83000.0,1
-112.8431,1.8954,6.6978,0.4471,-591.3655,0.3185,5,8,5,83000.0,1
-114.9996,0.4176,3.6371,1.1579,-596.3206,0.8356,118,8,5,83000.0,1
-115.7719,1.971,8.4534,1.1375,-655.3917,0.454,105,8,5,83000.0,1
-118.134,1.2941,4.6757,0.5333,-539.3348,0.5065,27,8,5,83000.0,1
-119.2971,1.5128,3.1956,0.5164,-648.1651,0.4168,90,8,5,83000.0,1
-113.84,0.5512,8.0619,0.3403,-505.097,0.4686,12,8,5,83000.0,1
-118.1231,0.0048,4.4306,1.3638,-519.9383,0.6718,109,8,5,83000.0,1
-117.092,1.9558,7.5019,1.1252,-676.0193,0.8276,51,8,5,83000.0,1
-116.1538,2.3654,4.2497,1.0827,-633.4966,0.794,104,8,5,83000.0,1
-116.2579,0.0689,8.2035,0.8862,-668.2288,0.2728,18,8,5,83000.0,1
-116.2425,1.6432,7.591,0.5256,-580.8259,0.6626,62,8,5,83000.0,1
-115.6594,0.2569,3.9169,1.1242,-505.822,0.2205,85,8,5,83000.0,1
-118.5252,0.6296,9.9058,0.4394,-525.2186,0.3542,5,8,5,83000.0,1
-117.8162,0.1523,7.1051,1.1099,-616.1975,0.4019,18,8,5,83000.0,1
-113.2161,2.2943,7.6373,0.7525,-596.6478,0.8131,107,8,5,83000.0,1
-115.7772,1.5214,6.6645,1.1641,-611.975,0.2238,25,8,5,83000.0,1
-118.4514,0.815,3.9909,0.7775,-675.9327,0.6681,9,8,5,83000.0,1
-115.6119,0.4783,8.4899,0.0633,-587.9408,0.2885,33,8,5,83000.0,1
-118.8158,1.1081,6.1652,0.9188,-521.1976,0.2306,10,8,5,83000.0,1
-115.9611,2.0184,6.5851,0.7616,-609.5308,0.7226,70,8,5,83000.0,1
-117.7664,1.3988,6.6625,1.4149,-514.4381,0.8582,120,8,5,83000.0,1
-113.62,1.6779,3.9599,0.6425,-611.5764,0.3,11,8,5,83000.0,1
-118.0112,1.6086,5.1195,0.5493,-544.6135,0.3005,93,8,5,83000.0,1
-116.0833,1.4306,-11.4167,0.9306,-538.2690,0.0000,0,8,5,83000.0000,1
-115.0625,0.3867,-2.5000,29.0938,-536.8709,0.0000,0,8,5,83000.0000,1
-114.4375,0.4180,-5.9375,0.8555,-534.7737,0.0000,0,8,5,83000.0000,1
-114.7500,1.0417,-6.7500,1.0417,-535.4728,0.0000,0,8,5,83000.0000,1
-113.8333,0.5139,-6.5000,0.1250,-518.6956,0.0000,0,8,5,83000.0000,1
-114.5000,0.0000,-5.7500,1.6875,-526.3851,0.0000,0,8,5,83000.0000,1
-114.0833,0.5972,-1.7500,0.5417,-532.6766,0.0000,0,8,5,83000.0000,1
-113.6875,1.4180,-1.1875,0.1055,-534.7738,0.0000,0,8,5,83000.0000,1
-113.5000,0.0625,-1.0000,0.0625,-545.2595,0.9375,30,8,5,83000.0000,1
-113.0000,0.0000,0.2500,0.0000,-532.6766,0.9873,66,8,5,83000.0000,1
